Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Story Points,Labels,Labels,Fix Version
Story,Déconnecter un utilisateur,"Invalider le refresh token côté serveur, pour que la déconnexion ne repose pas seulement sur l'oubli du jeton par le client.

Critères d'acceptation :
- `refreshTokenHash` est effacé
- Le refresh token devient inutilisable
- L'endpoint est idempotent",,Authentification et comptes,High,2,auth,mvp,MVP
Story,Réinitialiser un mot de passe oublié,"Le template `password-reset.hbs` existe déjà. Il manque le parcours complet : demande, jeton à durée limitée, changement effectif.

Critères d'acceptation :
- Le lien expire au bout d'une heure, conformément au template
- Le jeton est à usage unique
- La demande renvoie la même réponse, que l'email existe ou non
- Le changement invalide les sessions en cours",,Authentification et comptes,High,5,auth,mvp,MVP
Story,Vérifier l'adresse email,"Confirmer la possession de l'adresse avant d'accorder les droits liés au statut étudiant.

Critères d'acceptation :
- Un email de vérification part à l'inscription
- Le lien est à usage unique et expire
- Les actions réservées aux comptes vérifiés sont documentées",,Authentification et comptes,Medium,3,auth,v1,V1
Story,Brancher le SSO UCAC-ICAM,"Connexion via le fournisseur d'identité de l'école. C'est la raison pour laquelle `passwordHash` est nullable.

Critères d'acceptation :
- Un compte créé par SSO a un `passwordHash` nul et ne peut pas se connecter par mot de passe
- Le rattachement à un compte existant de même email est traité explicitement
- Le rôle et la promotion sont dérivés des attributs fournis par le fournisseur d'identité",,Authentification et comptes,Medium,8,auth,v1,V1
Story,Durcir les endpoints d'authentification,"Le `rate-limit.guard.ts` existe. Il faut l'appliquer aux parcours sensibles et ajouter une temporisation après des échecs répétés.

Critères d'acceptation :
- Limitation par IP et par compte sur la connexion, l'inscription et le mot de passe oublié
- Temporisation progressive après plusieurs échecs consécutifs
- Les tentatives échouées sont journalisées",,Authentification et comptes,High,5,auth,mvp,MVP
Story,Couvrir les guards de rôles par des tests,"`JwtAuthGuard`, `RolesGuard`, `@Roles` et `@Public` sont en place mais ne sont pas testés. Une régression ici ouvre l'accès à des données privées.

Critères d'acceptation :
- Chaque combinaison rôle / endpoint est testée
- Un endpoint sans `@Public` est protégé par défaut
- Un jeton expiré ou falsifié est rejeté",,Authentification et comptes,High,3,auth,mvp,MVP
Epic,Utilisateurs et profils,"Gestion des comptes, par l'administration et par l'utilisateur lui-même.",Utilisateurs et profils,,High,,user,,
Story,Administrer les utilisateurs,"Endpoints d'administration : lister, consulter, modifier le rôle, désactiver.

Critères d'acceptation :
- Réservé au rôle ADMIN
- La désactivation passe `isActive` à false sans supprimer l'historique
- Un administrateur ne peut pas se retirer lui-même son rôle",,Utilisateurs et profils,High,5,user,mvp,MVP
Story,Consulter et modifier son profil,"Endpoints de lecture et de mise à jour du profil de l'utilisateur connecté.

Critères d'acceptation :
- Ne renvoie jamais `passwordHash` ni `refreshTokenHash`
- Les champs `role`, `promotion` et `isFinissant` ne sont pas modifiables par l'utilisateur
- Changer d'email exige une nouvelle vérification",,Utilisateurs et profils,High,3,user,mvp,MVP
Story,Changer son mot de passe,"Changement par un utilisateur déjà connecté, avec vérification du mot de passe actuel.

Critères d'acceptation :
- Le mot de passe actuel est exigé
- Les autres sessions sont invalidées
- Indisponible pour les comptes SSO dépourvus de mot de passe",,Utilisateurs et profils,Medium,3,user,mvp,MVP
Story,Rechercher et filtrer les utilisateurs,"Permettre au bureau de retrouver un compte par rôle, promotion ou statut de finissant.

Critères d'acceptation :
- Filtres sur `role`, `promotion`, `isFinissant` et `isActive`
- Recherche textuelle sur le nom et l'email
- Pagination appliquée",,Utilisateurs et profils,Medium,3,user,v1,V1
Story,Piloter le marquage des finissants,"`isFinissant` conditionne l'appartenance à l'annuaire. Ce marquage doit découler de la génération active, et non d'une saisie manuelle.

Critères d'acceptation :
- Le passage à une nouvelle génération met à jour les finissants
- L'opération est tracée dans le journal d'activité
- Une correction manuelle reste possible pour un administrateur",,Utilisateurs et profils,Medium,3,user,v1,V1
Epic,Générations,Une génération correspond au mandat d'un Bureau des Finissants. L'archivage fige les statistiques et fait basculer la plateforme.,Générations,,High,,generation,,
Story,Gérer les générations,"Création, modification et consultation des générations : année, nom, logo, couleurs.

Critères d'acceptation :
- `annee` est unique
- Réservé au rôle ADMIN
- Les couleurs sont validées comme codes hexadécimaux",,Générations,High,3,generation,mvp,MVP
Story,Garantir l'unicité de la génération active,"`isActive` est un simple booléen : rien n'empêche aujourd'hui deux générations actives, ce qui rendrait le thème et les rattachements indéterminés.

Critères d'acceptation :
- Activer une génération désactive automatiquement la précédente
- L'invariant est garanti en base par un index partiel unique, pas seulement en code
- L'opération est transactionnelle",,Générations,Highest,3,generation,mvp,MVP
Story,Archiver une génération et figer ses statistiques,"L'archivage calcule puis fige `stats` (totalEvents, totalRevenue, totalUsers, totalProducts) et renseigne `archivedAt`.

Critères d'acceptation :
- Les statistiques sont calculées à l'archivage et ne bougent plus ensuite
- `archivedAt` est renseigné
- Une génération archivée n'est plus modifiable",,Générations,High,5,generation,v1,V1
Story,Exposer le thème de la génération active,"Le frontend a besoin du logo et des couleurs de la génération en cours.

Critères d'acceptation :
- Endpoint public renvoyant le logo et les couleurs de la génération active
- La réponse est mise en cache
- Le comportement est défini lorsqu'aucune génération n'est active",,Générations,Medium,2,generation,mvp,MVP
Story,Basculer vers une nouvelle génération,"Séquencer les effets de bord d'un changement de mandat : finissants, annuaire, contenus rattachés.

Critères d'acceptation :
- La procédure est documentée et rejouable
- Les événements et contenus de l'ancienne génération restent consultables
- L'opération est tracée",,Générations,Medium,5,generation,v1,V1
Epic,Événements,"Cœur du produit : catalogue, publication, tarification double et jauge de capacité.",Événements,,High,,evenement,,
Story,Gérer les événements,"Création, modification et suppression par le bureau.

Critères d'acceptation :
- Réservé au rôle ADMIN
- `dateFin` doit être postérieure à `dateDebut`
- Un événement ayant des inscriptions ne peut pas être supprimé, seulement archivé",,Événements,Highest,5,evenement,mvp,MVP
Story,Lister publiquement les événements,"Liste paginée et filtrable, accessible sans authentification.

Critères d'acceptation :
- Seuls les événements PUBLIE sont visibles publiquement
- Filtres par type, par période et par génération
- Tri par date de début par défaut",,Événements,Highest,5,evenement,mvp,MVP
Story,Afficher le détail d'un événement,"Fiche complète, avec les sponsors, les produits rattachés et les places restantes.

Critères d'acceptation :
- Renvoie la jauge : capacité et inscriptions actuelles
- Un BROUILLON n'est accessible qu'à un administrateur
- Inclut les sponsors et les produits associés",,Événements,Highest,3,evenement,mvp,MVP
Story,Encadrer le workflow de publication,"Transitions de BROUILLON vers PUBLIE puis ARCHIVE, avec les règles associées.

Critères d'acceptation :
- Les transitions autorisées sont explicites, les autres sont refusées
- La publication exige que les champs obligatoires soient renseignés
- L'archivage ferme les inscriptions",,Événements,High,3,evenement,mvp,MVP
Story,Résoudre le tarif selon le profil,"`prixCampus` et `prixExterne` doivent être arbitrés selon le rôle : STUDENT paie le tarif campus, VISITOR le tarif externe. Les montants sont en FCFA, stockés en entier, la devise n'ayant pas de sous-unité.

Critères d'acceptation :
- Le tarif appliqué découle du rôle, jamais d'un paramètre envoyé par le client
- Le prix retenu est figé dans `Inscription.prix`
- Un événement GRATUIT ignore les deux tarifs
- La règle est couverte par des tests pour chaque rôle",,Événements,Highest,5,evenement,mvp,MVP
Story,Fiabiliser le compteur d'inscriptions,"`inscriptionsActuelles` est dénormalisé pour afficher la jauge sans recompter les inscriptions. Il peut donc s'écarter du réel : il faut un mécanisme de cohérence et de réconciliation.

Critères d'acceptation :
- Le compteur est mis à jour dans la même transaction que l'inscription
- Une annulation le décrémente
- Une commande de réconciliation permet de le recalculer
- Un test vérifie la cohérence sous accès concurrents",,Événements,High,5,evenement,mvp,MVP
Story,Alimenter la galerie et le compte rendu,"Renseigner `galerie` et `recap` une fois l'événement passé.

Critères d'acceptation :
- Ajout et suppression d'images dans la galerie
- Le compte rendu accepte du texte enrichi, assaini avant stockage
- Visible publiquement une fois l'événement terminé",,Événements,Low,3,evenement,v2,V2
Story,Rattacher des sponsors à un événement,"Gérer la relation plusieurs-à-plusieurs `evenement_sponsors`.

Critères d'acceptation :
- Ajout et retrait de sponsors sur un événement
- Affichage ordonné par palier
- Réservé au rôle ADMIN",,Événements,Medium,3,evenement,v1,V1
Story,Gérer les événements sur invitation,"Le type SUR_INVITATION existe, mais aucun mécanisme d'invitation n'est défini.

Critères d'acceptation :
- Génération et envoi d'invitations nominatives
- L'inscription est refusée sans invitation valide
- Une invitation est à usage unique",,Événements,Medium,5,evenement,v2,V2
Epic,Billetterie et contrôle d'accès,"Inscription aux événements, billet à QR code et scan à l'entrée. Les règles de concurrence y sont critiques.",Billetterie et contrôle d'accès,,High,,billetterie,,
Story,Créer une inscription et son code de billet,"`codeBillet` porte un index unique. Il doit être imprévisible : un code devinable permettrait de fabriquer un faux billet.

Critères d'acceptation :
- Le code est généré de façon cryptographiquement aléatoire
- L'unicité est garantie, avec gestion du cas de collision
- Le statut initial est EN_ATTENTE
- Le prix est figé selon le rôle de l'utilisateur",,Billetterie et contrôle d'accès,Highest,5,billetterie,mvp,MVP
Story,Générer le QR code du billet,"Alimenter `qrCode` à partir de `codeBillet`.

Critères d'acceptation :
- Le QR encode une référence vérifiable, pas des données personnelles
- Généré après confirmation du paiement
- Lisible par les lecteurs courants",,Billetterie et contrôle d'accès,Highest,5,billetterie,mvp,MVP
Story,Empêcher la double inscription,"Aucune contrainte n'empêche aujourd'hui un utilisateur de s'inscrire deux fois au même événement.

Critères d'acceptation :
- Contrainte d'unicité en base sur le couple (user, evenement)
- L'erreur renvoyée est explicite
- Une inscription ANNULEE n'empêche pas une nouvelle inscription",,Billetterie et contrôle d'accès,Highest,3,billetterie,mvp,MVP
Story,Contrôler la capacité sans surréservation,"Sous inscriptions simultanées, une simple lecture suivie d'une écriture laisse dépasser `capaciteMax`. Il faut un verrouillage ou une contrainte en base.

Critères d'acceptation :
- La capacité n'est jamais dépassée, même sous accès concurrents
- Un test concurrent valide l'invariant
- Le refus renvoie une erreur métier claire
- `capaciteMax` à zéro signifie illimité, et c'est documenté",,Billetterie et contrôle d'accès,Highest,8,billetterie,mvp,MVP
Story,Scanner un billet à l'entrée,"Endpoint de contrôle d'accès passant le billet en UTILISEE et renseignant `scannedAt`.

Critères d'acceptation :
- Un billet déjà UTILISEE est refusé, avec la date du premier scan
- Un billet ANNULEE ou non payé est refusé
- Réservé aux rôles habilités
- Le résultat reste correct si deux lecteurs scannent simultanément",,Billetterie et contrôle d'accès,Highest,5,billetterie,mvp,MVP
Story,Annuler une inscription,"Annulation par l'utilisateur ou par le bureau, avec libération de la place.

Critères d'acceptation :
- Le statut passe à ANNULEE et la place est libérée
- Un billet déjà scanné ne peut pas être annulé
- Les règles de remboursement sont documentées",,Billetterie et contrôle d'accès,High,5,billetterie,mvp,MVP
Story,Lister ses billets,"Liste des inscriptions de l'utilisateur connecté.

Critères d'acceptation :
- Filtrable par statut et par période
- Inclut le QR code des billets confirmés
- Un utilisateur ne voit que ses propres billets",,Billetterie et contrôle d'accès,High,3,billetterie,mvp,MVP
Story,Envoyer le billet par email,"Envoi du billet une fois le paiement confirmé.

Critères d'acceptation :
- Le QR code est présent dans l'email
- Un échec d'envoi n'annule pas l'inscription
- Un nouvel envoi est possible à la demande",,Billetterie et contrôle d'accès,High,3,billetterie,mvp,MVP
Story,Exporter la liste des participants,"Export destiné à l'accueil, le jour de l'événement.

Critères d'acceptation :
- Export CSV incluant le statut de paiement et celui de scan
- Réservé au rôle ADMIN
- L'export est journalisé, car il contient des données personnelles",,Billetterie et contrôle d'accès,Medium,3,billetterie,v1,V1
Story,Calculer les statistiques de fréquentation,"Taux de présence par événement, à partir des billets scannés.

Critères d'acceptation :
- Nombre d'inscrits, nombre de présents et taux de présence
- Répartition entre campus et externes
- Disponible après l'événement",,Billetterie et contrôle d'accès,Low,3,billetterie,v2,V2
Epic,Paiement Mobile Money,"Intégration NotchPay (Orange Money, MTN MoMo). L'idempotence et la vérification de signature sont ici des sujets de sécurité, pas de confort.",Paiement Mobile Money,,High,,paiement,,
Story,Initier un paiement,"Intégrer NotchPay pour lancer un paiement Mobile Money et créer la `Transaction` associée.

Critères d'acceptation :
- La transaction est créée avant l'appel au prestataire
- `reference` est renseignée et unique
- `origine` distingue EVENEMENT et BOUTIQUE
- Les erreurs du prestataire sont tracées sans exposer de secret",,Paiement Mobile Money,Highest,8,paiement,mvp,MVP
Story,Vérifier la signature des webhooks,"Sans vérification, n'importe qui peut appeler l'endpoint et faire passer une commande en payée. Le risque est déjà signalé dans `docs/SECRETS.md`.

Critères d'acceptation :
- La signature est vérifiée avec `NOTCHPAY_WEBHOOK_SECRET`
- Une signature absente ou invalide renvoie 401 sans aucun traitement
- La comparaison résiste aux attaques temporelles
- Les rejets sont journalisés",,Paiement Mobile Money,Highest,5,paiement,mvp,MVP
Story,Rendre les webhooks idempotents,"Un prestataire de paiement rejoue ses webhooks. Sans idempotence, un même paiement peut confirmer deux fois une commande ou décrémenter deux fois le stock.

Critères d'acceptation :
- `Transaction.reference` sert de clé d'idempotence
- Un webhook rejoué ne produit aucun effet supplémentaire
- Le traitement est transactionnel
- Un test rejoue le même webhook et vérifie l'absence de doublon",,Paiement Mobile Money,Highest,5,paiement,mvp,MVP
Story,Formaliser la machine à états des paiements,"Expliciter les transitions de `StatutPaiement` (EN_ATTENTE, COMPLETE, ECHOUE) et leur propagation vers l'inscription ou la commande.

Critères d'acceptation :
- Les transitions autorisées sont explicites, les autres sont refusées
- Aucune transition n'est possible depuis COMPLETE
- La propagation vers `Inscription` et `Commande` est couverte par des tests",,Paiement Mobile Money,Highest,5,paiement,mvp,MVP
Story,Réconcilier les paiements,"Un webhook peut ne jamais arriver. Il faut pouvoir interroger activement le prestataire pour trancher.

Critères d'acceptation :
- Vérification à la demande du statut réel d'une transaction
- Tâche planifiée sur les transactions en attente depuis trop longtemps
- Les écarts constatés sont signalés",,Paiement Mobile Money,High,5,paiement,v1,V1
Story,Consulter le journal des transactions,"Endpoints de consultation pour le bureau, toutes origines confondues.

Critères d'acceptation :
- Filtres par origine, statut, méthode et période
- Réservé au rôle ADMIN
- Pagination appliquée",,Paiement Mobile Money,High,3,paiement,mvp,MVP
Story,Gérer les échecs et permettre la relance,"Un paiement échoué doit pouvoir être relancé sans recréer l'inscription ou la commande.

Critères d'acceptation :
- Un échec laisse l'inscription ou la commande en attente, sans la détruire
- La relance réutilise le même panier
- L'utilisateur est informé de la cause lorsqu'elle est connue",,Paiement Mobile Money,High,5,paiement,mvp,MVP
Story,Expirer les paiements en attente,"Sans expiration, les places et le stock restent bloqués indéfiniment par des paniers abandonnés.

Critères d'acceptation :
- Le délai d'expiration est configurable
- L'expiration libère la place et le stock
- L'utilisateur est notifié",,Paiement Mobile Money,Medium,3,paiement,v1,V1
Story,Tracer les remboursements,"Permettre à un administrateur d'enregistrer un remboursement, même réalisé hors plateforme.

Critères d'acceptation :
- Un remboursement est tracé comme une transaction liée à l'originale
- Réservé au rôle ADMIN et tracé dans le journal d'activité
- Le statut de l'inscription ou de la commande est mis à jour",,Paiement Mobile Money,Low,5,paiement,v2,V2
Epic,Boutique,"Catalogue de produits dérivés, avec variantes, stock et précommandes.",Boutique,,High,,boutique,,
Story,Gérer les produits,"Gestion du catalogue par le bureau.

Critères d'acceptation :
- Réservé au rôle ADMIN
- Les tarifs campus et externe sont validés
- Les variantes de tailles et de couleurs sont gérées",,Boutique,High,5,boutique,mvp,MVP
Story,Exposer le catalogue public,"Liste paginée et filtrable des produits.

Critères d'acceptation :
- Les produits RETIRE ne sont pas visibles publiquement
- Filtres par catégorie, par statut et par événement rattaché
- Pagination appliquée",,Boutique,High,3,boutique,mvp,MVP
Story,Afficher le détail d'un produit,"Fiche produit avec images, variantes et disponibilité.

Critères d'acceptation :
- Renvoie les tailles et couleurs disponibles
- Indique la disponibilité réelle à partir du stock
- Renvoie le tarif applicable au profil du visiteur",,Boutique,High,3,boutique,mvp,MVP
Story,Gérer le stock et le passage en rupture,"Le champ `stock` doit piloter automatiquement le statut RUPTURE.

Critères d'acceptation :
- Le statut passe à RUPTURE lorsque le stock atteint zéro
- Le réapprovisionnement remet le produit en DISPONIBLE
- Le stock ne peut jamais devenir négatif",,Boutique,High,5,boutique,mvp,MVP
Story,Gérer les précommandes,"Le statut PRECOMMANDE et le champ `datePrecommande` existent sans logique associée.

Critères d'acceptation :
- Une précommande est acceptée même sans stock disponible
- La date de disponibilité prévue est affichée
- Les clients sont notifiés à la mise à disposition",,Boutique,Medium,5,boutique,v1,V1
Story,Appliquer la tarification double aux produits,"Appliquer la même règle campus / externe que pour les événements.

Critères d'acceptation :
- Le tarif découle du rôle, jamais d'un paramètre du client
- Le prix retenu est figé dans la ligne de commande
- La règle est couverte par des tests",,Boutique,High,3,boutique,mvp,MVP
Epic,Commandes et retrait,"Panier, paiement, préparation et retrait sur le campus.",Commandes et retrait,,High,,commande,,
Story,Créer une commande,"Transformer un panier en commande et en lignes de commande, au sein d'une seule transaction.

Critères d'acceptation :
- Le total est calculé côté serveur, jamais reçu du client
- La disponibilité est vérifiée ligne par ligne
- La commande et ses lignes sont créées de façon transactionnelle
- Une commande vide est refusée",,Commandes et retrait,Highest,8,commande,mvp,MVP
Story,Figer le prix unitaire à la commande,"`LigneCommande.prix` existe précisément pour que le tarif du produit puisse évoluer sans modifier les commandes déjà passées.

Critères d'acceptation :
- Le prix unitaire est copié à la création de la ligne
- Modifier le produit ensuite ne change aucune commande existante
- Le total de la commande reste cohérent avec ses lignes",,Commandes et retrait,Highest,3,commande,mvp,MVP
Story,Décrémenter le stock sans survente,"Deux commandes simultanées portant sur le dernier article ne doivent pas aboutir toutes les deux.

Critères d'acceptation :
- Décrément atomique, protégé contre la concurrence
- Le stock ne devient jamais négatif
- Un test concurrent valide l'invariant
- L'annulation restitue le stock",,Commandes et retrait,Highest,5,commande,mvp,MVP
Story,Encadrer le workflow de la commande,"Transitions entre EN_ATTENTE, PAYEE, PRETE, RETIREE et ANNULEE.

Critères d'acceptation :
- Les transitions autorisées sont explicites
- Le passage à PAYEE découle du paiement confirmé, jamais d'une action manuelle seule
- Le passage à RETIREE est tracé avec son auteur",,Commandes et retrait,High,5,commande,mvp,MVP
Story,Lister ses commandes,"Liste et détail des commandes de l'utilisateur connecté.

Critères d'acceptation :
- Un utilisateur ne voit que ses propres commandes
- Le détail inclut les lignes et le statut de paiement
- Filtrable par statut",,Commandes et retrait,High,3,commande,mvp,MVP
Story,Générer la facture,"`Commande.factureUrl` attend un document généré et stocké.

Critères d'acceptation :
- Facture PDF générée à la confirmation du paiement
- Stockée sur R2 et accessible par URL signée
- Accessible au seul titulaire de la commande et aux administrateurs",,Commandes et retrait,Medium,5,commande,v1,V1
Story,Notifier la mise à disposition,"Prévenir le client lorsque sa commande passe en PRETE.

Critères d'acceptation :
- Notification in-app et email au passage en PRETE
- Le message précise le lieu et les horaires de retrait
- Un échec d'envoi ne bloque pas le changement de statut",,Commandes et retrait,Medium,3,commande,v1,V1
Epic,Sondages et votes,Consultations du bureau. L'anonymat et l'unicité du vote sont les points délicats.,Sondages et votes,,High,,sondage,,
Story,Gérer les sondages et leurs options,"Création avec options en cascade, modification, clôture.

Critères d'acceptation :
- Réservé au rôle ADMIN
- Au moins deux options sont exigées
- Un sondage ayant déjà reçu des votes n'est plus modifiable",,Sondages et votes,High,5,sondage,mvp,MVP
Story,Lister les sondages,"Sondages accessibles à l'utilisateur, selon son profil.

Critères d'acceptation :
- Les BROUILLON ne sont visibles que des administrateurs
- Indique si l'utilisateur a déjà voté
- Respecte la restriction campus",,Sondages et votes,High,3,sondage,mvp,MVP
Story,Enregistrer un vote,"Voter, en choix unique ou en choix multiple.

Critères d'acceptation :
- CHOIX_UNIQUE n'accepte qu'une seule option
- CHOIX_MULTIPLE accepte plusieurs options du même sondage
- Le vote est refusé après la date limite
- Un sondage qui n'est pas ACTIF n'accepte aucun vote",,Sondages et votes,Highest,5,sondage,mvp,MVP
Story,"Empêcher le double vote, anonymat inclus","L'index unique (sondage, user) ne protège pas les sondages anonymes, dont `user` est nul. Le contrôle doit alors être applicatif, sans casser l'anonymat.

Critères d'acceptation :
- Le double vote est impossible sur un sondage nominatif
- Le double vote est empêché sur un sondage anonyme sans stocker le lien entre le vote et son auteur
- Le mécanisme retenu est documenté
- Les deux cas sont couverts par des tests",,Sondages et votes,Highest,5,sondage,mvp,MVP
Story,Fiabiliser les compteurs de votes,"`Sondage.totalVotes` et `OptionSondage.votes` sont dénormalisés pour éviter les agrégations. Ils peuvent donc s'écarter du réel.

Critères d'acceptation :
- Les compteurs sont mis à jour dans la transaction du vote
- La somme des votes par option reste cohérente avec le total
- Une commande de recalcul existe
- Un test concurrent valide la cohérence",,Sondages et votes,High,5,sondage,mvp,MVP
Story,Appliquer la visibilité des résultats,"TOUJOURS, APRES_VOTE et APRES_DEADLINE doivent réellement conditionner l'accès aux résultats.

Critères d'acceptation :
- Chaque mode est respecté côté serveur
- Les résultats masqués ne transitent pas dans la réponse
- Un administrateur voit toujours les résultats
- Les trois modes sont testés",,Sondages et votes,High,5,sondage,mvp,MVP
Story,Restreindre aux étudiants du campus,"`campusUniquement` vaut vrai par défaut et doit filtrer l'accès.

Critères d'acceptation :
- Un VISITOR ne peut ni consulter ni voter un sondage réservé au campus
- Le filtrage s'applique aussi aux listes
- La règle est couverte par des tests",,Sondages et votes,High,3,sondage,mvp,MVP
Story,Clôturer automatiquement à la date limite,"Passer les sondages en CLOS sans intervention manuelle.

Critères d'acceptation :
- Tâche planifiée clôturant les sondages arrivés à échéance
- La clôture rend les résultats visibles si le mode le prévoit
- L'opération est idempotente",,Sondages et votes,Medium,3,sondage,v1,V1
Epic,Articles et actualités,"Publication éditoriale du bureau, avec slugs et publication programmée.",Articles et actualités,,High,,article,,
Story,Gérer les articles,"Rédaction, modification et archivage.

Critères d'acceptation :
- Réservé au rôle ADMIN
- Le contenu enrichi est assaini avant stockage
- L'auteur est rattaché au compte rédacteur",,Articles et actualités,High,5,article,mvp,MVP
Story,Générer un slug unique,"`slug` porte un index unique et sert d'URL publique.

Critères d'acceptation :
- Le slug est dérivé du titre, sans accent ni caractère spécial
- Les collisions sont résolues par un suffixe
- Modifier le titre ne casse pas l'URL d'un article déjà publié",,Articles et actualités,High,3,article,mvp,MVP
Story,Lister publiquement les articles,"Liste paginée, filtrable par catégorie.

Critères d'acceptation :
- Seuls les articles PUBLIE sont visibles publiquement
- Tri par date de publication décroissante
- L'extrait est renvoyé, pas le contenu complet",,Articles et actualités,High,3,article,mvp,MVP
